#f_min=(900,0)MHz;
#f_max=(4000,0)MHz;
#f_step=(.5,0)MHz;
#l=(0.16,0)m;
#Z_in=(75,0)Om;
#Z_out=(50,0)Om;
#f, Hz; KSVN
900	1.0165599654
900.5	1.0163273308
901	1.0160949086
901.5	1.015862699
902	1.0156307022
902.5	1.0153989186
903	1.0151673485
903.5	1.0149359919
904	1.0147048494
904.5	1.0144739211
905	1.0142432073
905.5	1.0140127083
906	1.0137824243
906.5	1.0135523556
907	1.0133225025
907.5	1.0130928652
908	1.0128634441
908.5	1.0126342394
909	1.0124052513
909.5	1.0121764801
910	1.0119479261
910.5	1.0117195895
911	1.0114914707
911.5	1.0112635699
912	1.0110358873
912.5	1.0108084232
913	1.0105811778
913.5	1.0103541516
914	1.0101273446
914.5	1.0099007571
915	1.0096743895
915.5	1.009448242
916	1.0092223148
916.5	1.0089966082
917	1.0087711224
917.5	1.0085458578
918	1.0083208145
918.5	1.0080959929
919	1.0078713932
919.5	1.0076470156
920	1.0074228604
920.5	1.0071989279
921	1.0069752183
921.5	1.0067517318
922	1.0065284688
922.5	1.0063054295
923	1.0060826141
923.5	1.0058600228
924	1.005637656
924.5	1.0054155139
925	1.0051935968
925.5	1.0049719048
926	1.0047504382
926.5	1.0045291974
927	1.0043081825
927.5	1.0040873937
928	1.0038668314
928.5	1.0036464958
929	1.0034263871
929.5	1.0032065056
930	1.0029868515
930.5	1.0027674251
931	1.0025482266
931.5	1.0023292562
932	1.0021105143
932.5	1.001892001
933	1.0016737166
933.5	1.0014556613
934	1.0012378354
934.5	1.0010202391
935	1.0008028727
935.5	1.0005857363
936	1.0003688303
936.5	1.0001521549
937	1.0000642897
937.5	1.0002805032
938	1.0004964855
938.5	1.0007122362
939	1.0009277552
939.5	1.0011430421
940	1.0013580969
940.5	1.0015729191
941	1.0017875086
941.5	1.0020018652
942	1.0022159886
942.5	1.0024298786
943	1.002643535
943.5	1.0028569574
944	1.0030701458
944.5	1.0032830998
945	1.0034958192
945.5	1.0037083039
946	1.0039205535
946.5	1.0041325678
947	1.0043443467
947.5	1.0045558898
948	1.004767197
948.5	1.004978268
949	1.0051891026
949.5	1.0053997006
950	1.0056100617
950.5	1.0058201857
951	1.0060300725
951.5	1.0062397217
952	1.0064491331
952.5	1.0066583066
953	1.0068672419
953.5	1.0070759388
954	1.007284397
954.5	1.0074926164
955	1.0077005967
955.5	1.0079083376
956	1.0081158391
956.5	1.0083231008
957	1.0085301226
957.5	1.0087369041
958	1.0089434453
958.5	1.0091497459
959	1.0093558056
959.5	1.0095616243
960	1.0097672017
960.5	1.0099725377
961	1.0101776319
961.5	1.0103824843
962	1.0105870945
962.5	1.0107914625
963	1.0109955878
963.5	1.0111994704
964	1.0114031101
964.5	1.0116065066
965	1.0118096597
965.5	1.0120125692
966	1.0122152349
966.5	1.0124176566
967	1.012619834
967.5	1.0128217671
968	1.0130234555
968.5	1.013224899
969	1.0134260975
969.5	1.0136270508
970	1.0138277586
970.5	1.0140282207
971	1.014228437
971.5	1.0144284072
972	1.0146281311
972.5	1.0148276086
973	1.0150268394
973.5	1.0152258233
974	1.0154245601
974.5	1.0156230497
975	1.0158212917
975.5	1.0160192861
976	1.0162170327
976.5	1.0164145311
977	1.0166117813
977.5	1.016808783
978	1.0170055361
978.5	1.0172020403
979	1.0173982954
979.5	1.0175943013
980	1.0177900578
980.5	1.0179855646
981	1.0181808216
981.5	1.0183758285
982	1.0185705853
982.5	1.0187650916
983	1.0189593474
983.5	1.0191533523
984	1.0193471063
984.5	1.0195406091
985	1.0197338606
985.5	1.0199268605
986	1.0201196087
986.5	1.020312105
987	1.0205043492
987.5	1.020696341
988	1.0208880804
988.5	1.0210795672
989	1.0212708011
989.5	1.0214617819
990	1.0216525096
990.5	1.0218429838
991	1.0220332045
991.5	1.0222231714
992	1.0224128844
992.5	1.0226023432
993	1.0227915477
993.5	1.0229804978
994	1.0231691932
994.5	1.0233576338
995	1.0235458193
995.5	1.0237337496
996	1.0239214246
996.5	1.024108844
997	1.0242960077
997.5	1.0244829155
998	1.0246695672
998.5	1.0248559627
999	1.0250421018
999.5	1.0252279842
1000	1.0254136099
1000.5	1.0255989786
1001	1.0257840903
1001.5	1.0259689446
1002	1.0261535415
1002.5	1.0263378808
1003	1.0265219622
1003.5	1.0267057857
1004	1.0268893511
1004.5	1.0270726582
1005	1.0272557068
1005.5	1.0274384968
1006	1.027621028
1006.5	1.0278033002
1007	1.0279853133
1007.5	1.0281670671
1008	1.0283485615
1008.5	1.0285297962
1009	1.0287107711
1009.5	1.0288914861
1010	1.029071941
1010.5	1.0292521357
1011	1.0294320699
1011.5	1.0296117435
1012	1.0297911563
1012.5	1.0299703083
1013	1.0301491992
1013.5	1.0303278289
1014	1.0305061971
1014.5	1.0306843039
1015	1.030862149
1015.5	1.0310397322
1016	1.0312170534
1016.5	1.0313941124
1017	1.0315709092
1017.5	1.0317474434
1018	1.0319237151
1018.5	1.0320997239
1019	1.0322754699
1019.5	1.0324509528
1020	1.0326261724
1020.5	1.0328011287
1021	1.0329758215
1021.5	1.0331502506
1022	1.0333244158
1022.5	1.0334983171
1023	1.0336719543
1023.5	1.0338453272
1024	1.0340184357
1024.5	1.0341912796
1025	1.0343638589
1025.5	1.0345361733
1026	1.0347082227
1026.5	1.034880007
1027	1.035051526
1027.5	1.0352227795
1028	1.0353937676
1028.5	1.0355644899
1029	1.0357349463
1029.5	1.0359051368
1030	1.0360750612
1030.5	1.0362447193
1031	1.036414111
1031.5	1.0365832362
1032	1.0367520947
